"maxO3" "T12" "Ne12" "maxO3v"
63.6 13.4 7 95.6
89.6 15 4 100.2
79 7.9 8 105.6
81.2 13.1 7 95.2
88 14.1 6 82.8
68.4 16.7 7 71.4
139 26.8 1 90
78.2 18.4 7 60
113.8 27.2 6 125.8
41.8 20.6 8 62.6
65 21 6 38
73 17.4 8 70.8
126.2 26.9 2 119.8
127.8 25.5 3 103.6
61.6 19.4 7 69.2
63.6 20.8 7 48
134.2 29.5 2 118.6
67.2 21.7 7 60
87.8 19.7 5 74.4
96.8 19 6 103.8
89.6 20.7 1 78.8
66.4 18 7 72.2
60 17.4 8 53.4
90.8 16.3 0 89
104.2 13.6 1 97.8
70 15.8 7 61.4
96.2 26 2 87.4
65.6 23.5 7 67.8
109.2 26.3 4 98.6
86.2 21.8 6 112
87.4 24.8 3 49.8
84 25.2 3 131.8
83 24.6 3 113.8
59.6 16.8 7 55.8
52 17.1 8 65.8
73.8 18 7 90.4
129 28.9 1 111.4
122.4 23.4 0 118.6
106.6 13 3 84
121.8 26 2 109.8
116.2 24.9 2 142.8
81.4 18.4 7 80.8
88.6 18.7 5 60.4
63 20.4 7 79.8
104 19.6 6 84.6
88.4 23.2 4 92.6
83.8 19.8 8 40.2
56.4 18.9 8 73.6
50.4 19.7 7 59
79.2 21.1 3 55.2
